year,month,usertype,trip_count,avg_duration_min,period,month_name,month_total,percentage
2019,1,Customer,4752,31.8,Pre-Pandemic (2019),Jan,69815,6.8
2019,1,Subscriber,65063,12.2,Pre-Pandemic (2019),Jan,69815,93.2
2019,2,Customer,6712,37.8,Pre-Pandemic (2019),Feb,80380,8.4
2019,2,Subscriber,73668,11.8,Pre-Pandemic (2019),Feb,80380,91.6
2019,3,Customer,14430,40.8,Pre-Pandemic (2019),Mar,102242,14.1
2019,3,Subscriber,87812,12.4,Pre-Pandemic (2019),Mar,102242,85.9
2019,4,Customer,34674,37.5,Pre-Pandemic (2019),Apr,166500,20.8
2019,4,Subscriber,131826,13.0,Pre-Pandemic (2019),Apr,166500,79.2
2019,5,Customer,51788,35.5,Pre-Pandemic (2019),May,222725,23.3
2019,5,Subscriber,170937,13.4,Pre-Pandemic (2019),May,222725,76.7
2019,6,Customer,73410,34.1,Pre-Pandemic (2019),Jun,273589,26.8
2019,6,Subscriber,200179,14.5,Pre-Pandemic (2019),Jun,273589,73.2
2019,7,Customer,81834,35.1,Pre-Pandemic (2019),Jul,316641,25.8
2019,7,Subscriber,234807,14.3,Pre-Pandemic (2019),Jul,316641,74.2
2019,8,Customer,87046,33.5,Pre-Pandemic (2019),Aug,337101,25.8
2019,8,Subscriber,250055,14.0,Pre-Pandemic (2019),Aug,337101,74.2
2019,9,Customer,81970,30.9,Pre-Pandemic (2019),Sep,362918,22.6
2019,9,Subscriber,280948,13.3,Pre-Pandemic (2019),Sep,362918,77.4
2019,10,Customer,56564,28.5,Pre-Pandemic (2019),Oct,305309,18.5
2019,10,Subscriber,248745,12.7,Pre-Pandemic (2019),Oct,305309,81.5
2019,11,Customer,28343,25.8,Pre-Pandemic (2019),Nov,190626,14.9
2019,11,Subscriber,162283,12.0,Pre-Pandemic (2019),Nov,190626,85.1
2019,12,Customer,10841,26.4,Pre-Pandemic (2019),Dec,92119,11.8
2019,12,Subscriber,81278,11.9,Pre-Pandemic (2019),Dec,92119,88.2
2022,1,Customer,8867,25.0,Post-Pandemic (2022),Jan,81478,10.9
2022,1,Subscriber,72611,12.3,Post-Pandemic (2022),Jan,81478,89.1
2022,2,Customer,15405,28.7,Post-Pandemic (2022),Feb,110248,14.0
2022,2,Subscriber,94843,12.4,Post-Pandemic (2022),Feb,110248,86.0
2022,3,Customer,39183,31.6,Post-Pandemic (2022),Mar,181849,21.5
2022,3,Subscriber,142666,12.7,Post-Pandemic (2022),Mar,181849,78.5
2022,4,Customer,73185,33.0,Post-Pandemic (2022),Apr,273170,26.8
2022,4,Subscriber,199985,12.9,Post-Pandemic (2022),Apr,273170,73.2
2022,5,Customer,114710,32.9,Post-Pandemic (2022),May,349030,32.9
2022,5,Subscriber,234320,13.8,Post-Pandemic (2022),May,349030,67.1
2022,6,Customer,121185,32.9,Post-Pandemic (2022),Jun,386576,31.3
2022,6,Subscriber,265391,14.4,Post-Pandemic (2022),Jun,386576,68.7
2022,7,Customer,137790,33.0,Post-Pandemic (2022),Jul,428476,32.2
2022,7,Subscriber,290686,14.2,Post-Pandemic (2022),Jul,428476,67.8
2022,8,Customer,112994,31.5,Post-Pandemic (2022),Aug,485176,23.3
2022,8,Subscriber,372182,15.5,Post-Pandemic (2022),Aug,485176,76.7
2022,9,Customer,85086,29.0,Post-Pandemic (2022),Sep,597449,14.2
2022,9,Subscriber,512363,15.5,Post-Pandemic (2022),Sep,597449,85.8
2022,10,Customer,109206,26.6,Post-Pandemic (2022),Oct,413453,26.4
2022,10,Subscriber,304247,13.1,Post-Pandemic (2022),Oct,413453,73.6
2022,11,Customer,65613,26.3,Post-Pandemic (2022),Nov,289350,22.7
2022,11,Subscriber,223737,12.7,Post-Pandemic (2022),Nov,289350,77.3
2022,12,Customer,23701,22.9,Post-Pandemic (2022),Dec,142467,16.6
2022,12,Subscriber,118766,12.1,Post-Pandemic (2022),Dec,142467,83.4
2023,1,Customer,21706,24.9,Post-Pandemic (2023),Jan,139949,15.5
2023,1,Subscriber,118243,12.3,Post-Pandemic (2023),Jan,139949,84.5
2023,2,Customer,23932,25.1,Post-Pandemic (2023),Feb,152554,15.7
2023,2,Subscriber,128622,12.1,Post-Pandemic (2023),Feb,152554,84.3
2023,3,Customer,37042,26.7,Post-Pandemic (2023),Mar,198551,18.7
2023,3,Subscriber,161509,12.3,Post-Pandemic (2023),Mar,198551,81.3
2023,4,Customer,78932,29.1,Post-Pandemic (2023),Apr,291152,27.1
2023,4,Subscriber,212220,13.2,Post-Pandemic (2023),Apr,291152,72.9
2023,5,Customer,122280,31.2,Post-Pandemic (2023),May,380419,32.1
2023,5,Subscriber,258139,13.9,Post-Pandemic (2023),May,380419,67.9
2023,6,Customer,104617,29.4,Post-Pandemic (2023),Jun,360849,29.0
2023,6,Subscriber,256232,14.1,Post-Pandemic (2023),Jun,360849,71.0
2023,7,Customer,124105,30.8,Post-Pandemic (2023),Jul,403365,30.8
2023,7,Subscriber,279260,14.3,Post-Pandemic (2023),Jul,403365,69.2
2023,8,Customer,136221,29.9,Post-Pandemic (2023),Aug,433755,31.4
2023,8,Subscriber,297534,14.1,Post-Pandemic (2023),Aug,433755,68.6
2023,9,Customer,111241,27.2,Post-Pandemic (2023),Sep,412744,27.0
2023,9,Subscriber,301503,13.6,Post-Pandemic (2023),Sep,412744,73.0
2023,10,Customer,109423,26.9,Post-Pandemic (2023),Oct,426490,25.7
2023,10,Subscriber,317067,13.4,Post-Pandemic (2023),Oct,426490,74.3
2023,11,Customer,53322,24.6,Post-Pandemic (2023),Nov,265570,20.1
2023,11,Subscriber,212248,12.8,Post-Pandemic (2023),Nov,265570,79.9
2023,12,Customer,32691,24.3,Post-Pandemic (2023),Dec,166630,19.6
2023,12,Subscriber,133939,13.6,Post-Pandemic (2023),Dec,166630,80.4
