year,day_of_week,hour,total_trips,num_days,avg_trips,period
2019,Friday,0,2899,52,55.8,Pre-Pandemic (2019)
2019,Friday,1,1590,52,30.6,Pre-Pandemic (2019)
2019,Friday,2,974,52,18.7,Pre-Pandemic (2019)
2019,Friday,3,388,52,7.5,Pre-Pandemic (2019)
2019,Friday,4,485,52,9.3,Pre-Pandemic (2019)
2019,Friday,5,2290,52,44.0,Pre-Pandemic (2019)
2019,Friday,6,7621,52,146.6,Pre-Pandemic (2019)
2019,Friday,7,21996,52,423.0,Pre-Pandemic (2019)
2019,Friday,8,40930,52,787.1,Pre-Pandemic (2019)
2019,Friday,9,23449,52,450.9,Pre-Pandemic (2019)
2019,Friday,10,14957,52,287.6,Pre-Pandemic (2019)
2019,Friday,11,16404,52,315.5,Pre-Pandemic (2019)
2019,Friday,12,19201,52,369.2,Pre-Pandemic (2019)
2019,Friday,13,19344,52,372.0,Pre-Pandemic (2019)
2019,Friday,14,19160,52,368.5,Pre-Pandemic (2019)
2019,Friday,15,23568,52,453.2,Pre-Pandemic (2019)
2019,Friday,16,34431,52,662.1,Pre-Pandemic (2019)
2019,Friday,17,42299,52,813.4,Pre-Pandemic (2019)
2019,Friday,18,30489,52,586.3,Pre-Pandemic (2019)
2019,Friday,19,21253,52,408.7,Pre-Pandemic (2019)
2019,Friday,20,14633,52,281.4,Pre-Pandemic (2019)
2019,Friday,21,10914,52,209.9,Pre-Pandemic (2019)
2019,Friday,22,9300,52,178.8,Pre-Pandemic (2019)
2019,Friday,23,6459,52,124.2,Pre-Pandemic (2019)
2019,Monday,0,2131,52,41.0,Pre-Pandemic (2019)
2019,Monday,1,1216,52,23.4,Pre-Pandemic (2019)
2019,Monday,2,702,52,13.5,Pre-Pandemic (2019)
2019,Monday,3,283,52,5.4,Pre-Pandemic (2019)
2019,Monday,4,547,52,10.5,Pre-Pandemic (2019)
2019,Monday,5,2577,52,49.6,Pre-Pandemic (2019)
2019,Monday,6,8430,52,162.1,Pre-Pandemic (2019)
2019,Monday,7,23687,52,455.5,Pre-Pandemic (2019)
2019,Monday,8,40825,52,785.1,Pre-Pandemic (2019)
2019,Monday,9,22156,52,426.1,Pre-Pandemic (2019)
2019,Monday,10,13817,52,265.7,Pre-Pandemic (2019)
2019,Monday,11,14607,52,280.9,Pre-Pandemic (2019)
2019,Monday,12,16946,52,325.9,Pre-Pandemic (2019)
2019,Monday,13,15986,52,307.4,Pre-Pandemic (2019)
2019,Monday,14,16385,52,315.1,Pre-Pandemic (2019)
2019,Monday,15,19380,52,372.7,Pre-Pandemic (2019)
2019,Monday,16,32389,52,622.9,Pre-Pandemic (2019)
2019,Monday,17,47884,52,920.8,Pre-Pandemic (2019)
2019,Monday,18,34283,52,659.3,Pre-Pandemic (2019)
2019,Monday,19,22774,52,438.0,Pre-Pandemic (2019)
2019,Monday,20,15069,52,289.8,Pre-Pandemic (2019)
2019,Monday,21,10172,52,195.6,Pre-Pandemic (2019)
2019,Monday,22,6424,52,123.5,Pre-Pandemic (2019)
2019,Monday,23,3380,52,65.0,Pre-Pandemic (2019)
2019,Saturday,0,4654,52,89.5,Pre-Pandemic (2019)
2019,Saturday,1,3736,52,71.8,Pre-Pandemic (2019)
2019,Saturday,2,2337,52,44.9,Pre-Pandemic (2019)
2019,Saturday,3,792,52,15.2,Pre-Pandemic (2019)
