age_group,gender_label,count,percentage,day_type,plot_pct
15-19,Female,7868,0.45,Weekday,0.45
15-19,Male,27912,1.59,Weekday,-1.59
20-24,Female,92368,5.26,Weekday,5.26
20-24,Male,237058,13.5,Weekday,-13.5
25-29,Female,132267,7.53,Weekday,7.53
25-29,Male,346999,19.76,Weekday,-19.76
30-34,Female,87083,4.96,Weekday,4.96
30-34,Male,257018,14.63,Weekday,-14.63
35-39,Female,41036,2.34,Weekday,2.34
35-39,Male,145358,8.28,Weekday,-8.28
40-44,Female,23655,1.35,Weekday,1.35
40-44,Male,88223,5.02,Weekday,-5.02
45-49,Female,18300,1.04,Weekday,1.04
45-49,Male,67830,3.86,Weekday,-3.86
50-54,Female,16316,0.93,Weekday,0.93
50-54,Male,51326,2.92,Weekday,-2.92
55-59,Female,15690,0.89,Weekday,0.89
55-59,Male,44338,2.52,Weekday,-2.52
60-64,Female,9730,0.55,Weekday,0.55
60-64,Male,25129,1.43,Weekday,-1.43
65-69,Female,2490,0.14,Weekday,0.14
65-69,Male,12447,0.71,Weekday,-0.71
70-74,Female,344,0.02,Weekday,0.02
70-74,Male,4001,0.23,Weekday,-0.23
75-79,Female,288,0.02,Weekday,0.02
75-79,Male,1261,0.07,Weekday,-0.07
15-19,Female,4093,0.84,Weekend,0.84
15-19,Male,11978,2.46,Weekend,-2.46
20-24,Female,37934,7.8,Weekend,7.8
20-24,Male,83433,17.15,Weekend,-17.15
25-29,Female,45822,9.42,Weekend,9.42
25-29,Male,107895,22.17,Weekend,-22.17
30-34,Female,26640,5.48,Weekend,5.48
30-34,Male,63761,13.1,Weekend,-13.1
35-39,Female,9593,1.97,Weekend,1.97
35-39,Male,26671,5.48,Weekend,-5.48
40-44,Female,5238,1.08,Weekend,1.08
40-44,Male,14228,2.92,Weekend,-2.92
45-49,Female,4287,0.88,Weekend,0.88
45-49,Male,10416,2.14,Weekend,-2.14
50-54,Female,3875,0.8,Weekend,0.8
50-54,Male,8627,1.77,Weekend,-1.77
55-59,Female,3912,0.8,Weekend,0.8
55-59,Male,8331,1.71,Weekend,-1.71
60-64,Female,1987,0.41,Weekend,0.41
60-64,Male,3844,0.79,Weekend,-0.79
65-69,Female,669,0.14,Weekend,0.14
65-69,Male,1973,0.41,Weekend,-0.41
70-74,Female,82,0.02,Weekend,0.02
70-74,Male,937,0.19,Weekend,-0.19
75-79,Female,46,0.01,Weekend,0.01
75-79,Male,294,0.06,Weekend,-0.06
15-19,Female,11961,0.53,Total,0.53
15-19,Male,39890,1.78,Total,-1.78
20-24,Female,130302,5.81,Total,5.81
20-24,Male,320491,14.29,Total,-14.29
25-29,Female,178089,7.94,Total,7.94
25-29,Male,454894,20.28,Total,-20.28
30-34,Female,113723,5.07,Total,5.07
30-34,Male,320779,14.3,Total,-14.3
35-39,Female,50629,2.26,Total,2.26
35-39,Male,172029,7.67,Total,-7.67
40-44,Female,28893,1.29,Total,1.29
40-44,Male,102451,4.57,Total,-4.57
45-49,Female,22587,1.01,Total,1.01
45-49,Male,78246,3.49,Total,-3.49
50-54,Female,20191,0.9,Total,0.9
50-54,Male,59953,2.67,Total,-2.67
55-59,Female,19602,0.87,Total,0.87
55-59,Male,52669,2.35,Total,-2.35
60-64,Female,11717,0.52,Total,0.52
60-64,Male,28973,1.29,Total,-1.29
65-69,Female,3159,0.14,Total,0.14
65-69,Male,14420,0.64,Total,-0.64
70-74,Female,426,0.02,Total,0.02
70-74,Male,4938,0.22,Total,-0.22
75-79,Female,334,0.01,Total,0.01
75-79,Male,1555,0.07,Total,-0.07
