year,day_type,usertype,duration_bin,count,period,bin_start
2019,Weekday,Customer,0-2,855,Pre-Pandemic (2019),0
2019,Weekday,Customer,2-4,4800,Pre-Pandemic (2019),2
2019,Weekday,Customer,4-6,12851,Pre-Pandemic (2019),4
2019,Weekday,Customer,6-8,19154,Pre-Pandemic (2019),6
2019,Weekday,Customer,8-10,21914,Pre-Pandemic (2019),8
2019,Weekday,Customer,10-12,22800,Pre-Pandemic (2019),10
2019,Weekday,Customer,12-14,21873,Pre-Pandemic (2019),12
2019,Weekday,Customer,14-16,20347,Pre-Pandemic (2019),14
2019,Weekday,Customer,16-18,18868,Pre-Pandemic (2019),16
2019,Weekday,Customer,18-20,16761,Pre-Pandemic (2019),18
2019,Weekday,Customer,20-22,14861,Pre-Pandemic (2019),20
2019,Weekday,Customer,22-24,13563,Pre-Pandemic (2019),22
2019,Weekday,Customer,24-26,12515,Pre-Pandemic (2019),24
2019,Weekday,Customer,26-28,11433,Pre-Pandemic (2019),26
2019,Weekday,Customer,28-30,10163,Pre-Pandemic (2019),28
2019,Weekday,Customer,30-32,7934,Pre-Pandemic (2019),30
2019,Weekday,Customer,32-34,6516,Pre-Pandemic (2019),32
2019,Weekday,Customer,34-36,5547,Pre-Pandemic (2019),34
2019,Weekday,Customer,36-38,4787,Pre-Pandemic (2019),36
2019,Weekday,Customer,38-40,4084,Pre-Pandemic (2019),38
2019,Weekday,Customer,40-42,3598,Pre-Pandemic (2019),40
2019,Weekday,Customer,42-44,3200,Pre-Pandemic (2019),42
2019,Weekday,Customer,44-46,3026,Pre-Pandemic (2019),44
2019,Weekday,Customer,46-48,2775,Pre-Pandemic (2019),46
2019,Weekday,Customer,48-50,2414,Pre-Pandemic (2019),48
2019,Weekday,Customer,50-52,2292,Pre-Pandemic (2019),50
2019,Weekday,Customer,52-54,2168,Pre-Pandemic (2019),52
2019,Weekday,Customer,54-56,1974,Pre-Pandemic (2019),54
2019,Weekday,Customer,56-58,1928,Pre-Pandemic (2019),56
2019,Weekday,Customer,58-60,1704,Pre-Pandemic (2019),58
2019,Weekday,Subscriber,0-2,14412,Pre-Pandemic (2019),0
2019,Weekday,Subscriber,2-4,122048,Pre-Pandemic (2019),2
2019,Weekday,Subscriber,4-6,220443,Pre-Pandemic (2019),4
2019,Weekday,Subscriber,6-8,231484,Pre-Pandemic (2019),6
2019,Weekday,Subscriber,8-10,192977,Pre-Pandemic (2019),8
2019,Weekday,Subscriber,10-12,162653,Pre-Pandemic (2019),10
2019,Weekday,Subscriber,12-14,137174,Pre-Pandemic (2019),12
2019,Weekday,Subscriber,14-16,112270,Pre-Pandemic (2019),14
2019,Weekday,Subscriber,16-18,89204,Pre-Pandemic (2019),16
2019,Weekday,Subscriber,18-20,71600,Pre-Pandemic (2019),18
2019,Weekday,Subscriber,20-22,56443,Pre-Pandemic (2019),20
2019,Weekday,Subscriber,22-24,43567,Pre-Pandemic (2019),22
2019,Weekday,Subscriber,24-26,32840,Pre-Pandemic (2019),24
2019,Weekday,Subscriber,26-28,26172,Pre-Pandemic (2019),26
2019,Weekday,Subscriber,28-30,20498,Pre-Pandemic (2019),28
2019,Weekday,Subscriber,30-32,15610,Pre-Pandemic (2019),30
2019,Weekday,Subscriber,32-34,12342,Pre-Pandemic (2019),32
2019,Weekday,Subscriber,34-36,9831,Pre-Pandemic (2019),34
2019,Weekday,Subscriber,36-38,7715,Pre-Pandemic (2019),36
2019,Weekday,Subscriber,38-40,5975,Pre-Pandemic (2019),38
2019,Weekday,Subscriber,40-42,4795,Pre-Pandemic (2019),40
2019,Weekday,Subscriber,42-44,3719,Pre-Pandemic (2019),42
2019,Weekday,Subscriber,44-46,2683,Pre-Pandemic (2019),44
2019,Weekday,Subscriber,46-48,1668,Pre-Pandemic (2019),46
2019,Weekday,Subscriber,48-50,1170,Pre-Pandemic (2019),48
2019,Weekday,Subscriber,50-52,1001,Pre-Pandemic (2019),50
2019,Weekday,Subscriber,52-54,786,Pre-Pandemic (2019),52
2019,Weekday,Subscriber,54-56,763,Pre-Pandemic (2019),54
2019,Weekday,Subscriber,56-58,633,Pre-Pandemic (2019),56
2019,Weekday,Subscriber,58-60,539,Pre-Pandemic (2019),58
2019,Weekend,Customer,0-2,723,Pre-Pandemic (2019),0
2019,Weekend,Customer,2-4,2261,Pre-Pandemic (2019),2
2019,Weekend,Customer,4-6,5531,Pre-Pandemic (2019),4
2019,Weekend,Customer,6-8,8779,Pre-Pandemic (2019),6
2019,Weekend,Customer,8-10,11030,Pre-Pandemic (2019),8
2019,Weekend,Customer,10-12,11938,Pre-Pandemic (2019),10
2019,Weekend,Customer,12-14,12433,Pre-Pandemic (2019),12
2019,Weekend,Customer,14-16,12190,Pre-Pandemic (2019),14
2019,Weekend,Customer,16-18,11906,Pre-Pandemic (2019),16
2019,Weekend,Customer,18-20,11635,Pre-Pandemic (2019),18
2019,Weekend,Customer,20-22,10898,Pre-Pandemic (2019),20
2019,Weekend,Customer,22-24,10650,Pre-Pandemic (2019),22
2019,Weekend,Customer,24-26,10037,Pre-Pandemic (2019),24
2019,Weekend,Customer,26-28,9539,Pre-Pandemic (2019),26
2019,Weekend,Customer,28-30,8941,Pre-Pandemic (2019),28
2019,Weekend,Customer,30-32,7263,Pre-Pandemic (2019),30
2019,Weekend,Customer,32-34,5903,Pre-Pandemic (2019),32
2019,Weekend,Customer,34-36,5116,Pre-Pandemic (2019),34
2019,Weekend,Customer,36-38,4490,Pre-Pandemic (2019),36
2019,Weekend,Customer,38-40,4071,Pre-Pandemic (2019),38
2019,Weekend,Customer,40-42,3719,Pre-Pandemic (2019),40
2019,Weekend,Customer,42-44,3443,Pre-Pandemic (2019),42
2019,Weekend,Customer,44-46,3205,Pre-Pandemic (2019),44
2019,Weekend,Customer,46-48,2940,Pre-Pandemic (2019),46
2019,Weekend,Customer,48-50,2749,Pre-Pandemic (2019),48
2019,Weekend,Customer,50-52,2554,Pre-Pandemic (2019),50
2019,Weekend,Customer,52-54,2372,Pre-Pandemic (2019),52
2019,Weekend,Customer,54-56,2267,Pre-Pandemic (2019),54
2019,Weekend,Customer,56-58,2168,Pre-Pandemic (2019),56
2019,Weekend,Customer,58-60,1999,Pre-Pandemic (2019),58
2019,Weekend,Subscriber,0-2,4185,Pre-Pandemic (2019),0
2019,Weekend,Subscriber,2-4,28519,Pre-Pandemic (2019),2
2019,Weekend,Subscriber,4-6,50794,Pre-Pandemic (2019),4
2019,Weekend,Subscriber,6-8,51268,Pre-Pandemic (2019),6
2019,Weekend,Subscriber,8-10,41606,Pre-Pandemic (2019),8
2019,Weekend,Subscriber,10-12,35009,Pre-Pandemic (2019),10
2019,Weekend,Subscriber,12-14,28681,Pre-Pandemic (2019),12
2019,Weekend,Subscriber,14-16,23605,Pre-Pandemic (2019),14
2019,Weekend,Subscriber,16-18,19535,Pre-Pandemic (2019),16
2019,Weekend,Subscriber,18-20,16052,Pre-Pandemic (2019),18
2019,Weekend,Subscriber,20-22,13383,Pre-Pandemic (2019),20
2019,Weekend,Subscriber,22-24,11146,Pre-Pandemic (2019),22
2019,Weekend,Subscriber,24-26,9216,Pre-Pandemic (2019),24
2019,Weekend,Subscriber,26-28,7502,Pre-Pandemic (2019),26
2019,Weekend,Subscriber,28-30,6272,Pre-Pandemic (2019),28
2019,Weekend,Subscriber,30-32,5197,Pre-Pandemic (2019),30
2019,Weekend,Subscriber,32-34,4245,Pre-Pandemic (2019),32
2019,Weekend,Subscriber,34-36,3741,Pre-Pandemic (2019),34
2019,Weekend,Subscriber,36-38,3106,Pre-Pandemic (2019),36
2019,Weekend,Subscriber,38-40,2607,Pre-Pandemic (2019),38
2019,Weekend,Subscriber,40-42,2199,Pre-Pandemic (2019),40
2019,Weekend,Subscriber,42-44,1763,Pre-Pandemic (2019),42
